player_name,team_name,position_clean,base_salary,guaranteed_comp,player_key_merge,team_key
Adyn Torres,Atlanta United,Defensive Midfield,80622.0,80622.0,adyn torres,atlanta united
Ajani Fortune,Atlanta United,Central Midfield,109000.0,109000.0,ajani fortune,atlanta united
Aleksey Miranchuk,Atlanta United,Attacking Midfield,3600000.0,4885441.0,aleksey miranchuk,atlanta united
Ashton Gordon,Atlanta United,Right Wing,80622.0,80622.0,ashton gordon,atlanta united
Bartosz Slisz,Atlanta United,Defensive Midfield,670000.0,870000.0,bartosz slisz,atlanta united
Brad Guzan,Atlanta United,Goalkeeper,300000.0,312500.0,brad guzan,atlanta united
Brooks Lennon,Atlanta United,Right-back,740000.0,740000.0,brooks lennon,atlanta united
Cayman Togashi,Atlanta United,Center Forward,104000.0,104000.0,cayman togashi,atlanta united
Cooper Sanchez,Atlanta United,Central Midfield,80622.0,80622.0,cooper sanchez,atlanta united
Dominik Chong Qui,Atlanta United,Left-back,80622.0,80622.0,dominik chong qui,atlanta united
Edwin Mosquera,Atlanta United,Left Wing,425000.0,455833.0,edwin mosquera,atlanta united
Emmanuel Latte Lath,Atlanta United,Center Forward,3534546.0,4030546.0,emmanuel latte lath,atlanta united
Enea Mihaj,Atlanta United,Center-back,1030000.0,1372000.0,enea mihaj,atlanta united
Jamal Thiare,Atlanta United,Center Forward,700000.0,730000.0,jamal thiare,atlanta united
Jayden Hibbert,Atlanta United,Goalkeeper,80622.0,80622.0,jayden hibbert,atlanta united
Josh Cohen,Atlanta United,Goalkeeper,289992.0,328492.0,josh cohen,atlanta united
Juan Berrocal,Atlanta United,Center-back,1200000.0,1200000.0,juan berrocal,atlanta united
Leo Afonso,Atlanta United,Left Wing,80622.0,80622.0,leo afonso,atlanta united
Luke Brennan,Atlanta United,Right Midfield,104000.0,104000.0,luke brennan,atlanta united
Matthew Edwards,Atlanta United,Right-back,80622.0,80622.0,matthew edwards,atlanta united
Miguel Almiron,Atlanta United,Right Wing,6056000.0,7871000.0,miguel almiron,atlanta united
